API v2.0.0
Time,P4,Fz,Pz,P3,PO8,PO7,Oz,Trial,Num_Sequences,Sequence,Tag,Label,Flash_Event
0.878723,-663.705000,-76.632783,-652.619321,-827.308715,-612.521451,-221.437179,-895.562761,-1,-1,-1,-1,-1,-1
0.882711,-671.531000,-80.254685,-662.842225,-832.138310,-617.354261,-220.867587,-917.767537,-1,-1,-1,-1,-1,-1
0.886699,-691.698000,-86.908514,-675.518901,-846.312500,-640.215132,-240.734744,-931.344265,-1,-1,-1,-1,-1,-1
0.890686,-699.524000,-104.343880,-688.737934,-860.430950,-631.279268,-264.752244,-934.077782,-1,-1,-1,-1,-1,-1
0.894675,-691.999000,-104.326198,-682.411386,-855.902355,-622.556992,-270.120475,-916.068257,-1,-1,-1,-1,-1,-1
0.898683,-689.591000,-89.906490,-673.711514,-843.905859,-631.523114,-256.018614,-914.858489,-1,-1,-1,-1,-1,-1
0.902667,-693.805000,-83.009660,-681.520869,-849.917702,-638.430985,-271.626633,-917.574700,-1,-1,-1,-1,-1,-1
0.906664,-685.979000,-82.991270,-677.589838,-847.485231,-627.611795,-256.904253,-912.444720,-1,-1,-1,-1,-1,-1
0.910632,-678.153000,-83.873758,-676.355322,-843.554558,-608.710992,-257.773688,-879.156304,-1,-1,-1,-1,-1,-1
0.914620,-682.367000,-82.682490,-677.273580,-850.764963,-624.897752,-278.179188,-904.938468,-1,-1,-1,-1,-1,-1
0.918611,-692.300000,-88.411392,-679.416643,-847.813421,-663.864695,-263.225253,-935.540959,-1,-1,-1,-1,-1,-1
0.922617,-691.096000,-87.507685,-672.819610,-842.114813,-639.313813,-262.021253,-924.451550,-1,-1,-1,-1,-1,-1
0.926587,-687.183000,-75.186489,-674.299643,-846.591748,-629.414433,-280.296605,-919.340319,-1,-1,-1,-1,-1,-1
0.930580,-682.367000,-80.280148,-668.285192,-840.876826,-628.489580,-270.683123,-908.832720,-1,-1,-1,-1,-1,-1
0.934568,-698.019000,-96.532734,-680.341836,-850.835656,-656.114340,-273.741735,-920.590468,-1,-1,-1,-1,-1,-1
0.938557,-694.407000,-97.425124,-676.729836,-852.916826,-640.230261,-280.624225,-908.291291,-1,-1,-1,-1,-1,-1
0.942559,-691.096000,-89.009148,-672.220384,-845.410859,-636.021304,-280.911336,-896.293114,-1,-1,-1,-1,-1,-1
0.946573,-677.551000,-89.878198,-665.266869,-845.050041,-601.823293,-283.257994,-887.840597,-1,-1,-1,-1,-1,-1
0.950543,-695.912000,-85.116660,-678.834062,-855.320748,-637.844114,-290.224975,-929.866666,-1,-1,-1,-1,-1,-1
0.954520,-708.253000,-89.650050,-684.583577,-861.968578,-670.538806,-285.175105,-926.930216,-1,-1,-1,-1,-1,-1
0.958530,-696.815000,-85.719368,-678.838223,-858.920512,-645.032813,-281.233170,-925.677183,-1,-1,-1,-1,-1,-1
0.962496,-698.019000,-90.226587,-676.446868,-862.221996,-647.134770,-296.529772,-920.590468,-1,-1,-1,-1,-1,-1
0.966483,-688.387000,-83.897807,-671.309062,-851.990715,-627.026605,-282.699975,-897.777924,-1,-1,-1,-1,-1,-1
0.970132,-692.300000,-86.309343,-668.630577,-854.705153,-625.252544,-275.518799,-906.184291,-1,-1,-1,-1,-1,-1
0.974128,-687.785000,-79.692294,-669.208997,-851.688355,-629.717114,-275.801281,-914.550278,-1,-1,-1,-1,-1,-1
0.978113,-703.437000,-82.732001,-677.071061,-859.549702,-656.144598,-303.446984,-923.612006,-1,-1,-1,-1,-1,-1
0.982129,-704.039000,-79.730489,-675.875383,-860.151702,-649.862261,-301.650244,-913.130366,-1,-1,-1,-1,-1,-1
0.986088,-696.514000,-80.313392,-671.646126,-854.424545,-636.949519,-292.626031,-909.200060,-1,-1,-1,-1,-1,-1
